 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#     -2    -3       1.0042239538E-003
#     -2    -2       1.5474367405E-002
#     -2    -1       4.5327166261E-002
#     -2     0       3.7778104424E-002
#     -2     1       8.2019669879E-003
#     -2     2       4.7428364978E-002
#     -2     3       2.0790145434E-002
#     -2     4       1.6495483153E-002
#     -2     5       9.4091387809E-004
#     -1    -3       2.4313193690E-003
#     -1    -2       2.7459166437E-002
#     -1    -1       6.7575754142E-002
#     -1     0       2.2269463154E-003
#     -1     1       4.1952811352E-003
#     -1     2       6.3427715190E-002
#     -1     3       5.3083887625E-002
#     -1     4       3.0112877653E-003
#      0    -3       6.8989468972E-003
#      0    -2       1.4071048223E-002
#      0    -1       1.5314287472E-002
#      0     0       6.9144582327E-002
#      0     1       3.7768172088E-002
#      0     2       3.5225775128E-002
#      0     3       1.8594244512E-003
#      1    -3       1.3069214448E-002
#      1    -2       5.0775599429E-002
#      1    -1       4.9798967899E-002
#      1     0       5.5773939071E-002
#      1     1       5.9151613257E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.500000E+01
#     -9     3       2.3393114881E-007
#     -9     4       3.7326238596E-007
#     -9     5       7.6396793228E-008
#     -9     6       8.9419438751E-009
#     -8     1       3.3006428770E-007
#     -8     2       3.6613865968E-006
#     -8     3       1.0310007658E-005
#     -8     4       6.6285021942E-006
#     -8     5       1.1249482438E-006
#     -8     6       2.8229557349E-007
#     -8     7       2.8110787787E-009
#     -7     0       1.9456535966E-006
#     -7     1       2.9726608984E-005
#     -7     2       1.0263985737E-004
#     -7     3       1.3714386326E-004
#     -7     4       3.5484074162E-005
#     -7     5       1.6450304864E-005
#     -7     6       1.4062041413E-006
#     -7     7       4.5378805303E-008
#     -6    -1       9.0826777924E-006
#     -6     0       1.1893925991E-004
#     -6     1       6.0309289074E-004
#     -6     2       9.2856699220E-004
#     -6     3       6.0015047550E-004
#     -6     4       2.3859974459E-004
#     -6     5       1.0790086933E-004
#     -6     6       6.9034337821E-006
#     -6     7       3.9073486024E-007
#     -5    -2       1.1940195053E-005
#     -5    -1       3.0778370741E-004
#     -5     0       1.8722857801E-003
#     -5     1       4.1999668999E-003
#     -5     2       3.7392306645E-003
#     -5     3       1.4542447146E-003
#     -5     4       1.6784704988E-003
#     -5     5       2.4527266627E-004
#     -5     6       4.3531568598E-005
#     -4    -3       1.2719185215E-005
#     -4    -2       4.0442680844E-004
#     -4    -1       3.1792284167E-003
#     -4     0       1.2395187607E-002
#     -4     1       1.3196727306E-002
#     -4     2       7.1331515966E-003
#     -4     3       7.2393293256E-003
#     -4     4       4.1689317751E-003
#     -4     5       6.9668230953E-004
#     -4     6       6.7206511293E-005
#     -3    -3       1.8102621432E-004
#     -3    -2       4.3508829242E-003
#     -3    -1       1.5461828239E-002
#     -3     0       3.9414600277E-002
#     -3     1       1.9789979966E-002
#     -3     2       1.1077684474E-002
#     -3     3       2.5596499747E-002
#     -3     4       4.2833828229E-003
#     -3     5       1.8950950035E-003
#     -2    -3       8.8409790033E-004
#     -2    -2       2.0497612961E-002
#     -2    -1       4.6380565076E-002
#     -2     0       4.8125061425E-002
#     -2     1       1.0728039139E-002
#     -2     2       4.9918684310E-002
#     -2     3       2.1707538939E-002
#     -2     4       1.6222812239E-002
#     -2     5       8.2804913684E-004
