 Diffraction intensities for potential:pot10001.in                             
#     -9     8       3.9973325835E-004
#     -9     9       4.7633781415E-004
#     -9    10       1.8047629665E-004
#     -8    -9       2.6125509682E-005
#     -8    -8       1.0275189043E-004
#     -8    -7       1.7156787381E-003
#     -8    -6       1.8444250140E-003
#     -8    -5       5.2318995226E-004
#     -8    -4       2.6598331699E-003
#     -8    -3       1.0571242710E-003
#     -8    -2       1.2475144063E-003
#     -8    -1       3.8603319666E-004
#     -8     0       1.5663577806E-003
#     -8     1       4.3151212333E-003
#     -8     2       7.1507115541E-004
#     -8     3       1.0340114040E-002
#     -8     4       2.3342691580E-003
#     -8     5       9.9264740893E-003
#     -8     6       3.9629497471E-003
#     -8     7       1.0568333511E-003
#     -8     8       3.3007450883E-003
#     -8     9       5.5255991010E-004
#     -8    10       9.5884269887E-004
#     -7    -9       2.6732376140E-005
#     -7    -8       1.0635661142E-003
#     -7    -7       2.8821974688E-003
#     -7    -6       2.8980116824E-004
#     -7    -5       6.0651457802E-003
#     -7    -4       4.9369318294E-003
#     -7    -3       3.8342776774E-003
#     -7    -2       4.7580255053E-003
#     -7    -1       4.3151101349E-003
#     -7     0       7.5277587705E-003
#     -7     1       4.1157933928E-004
#     -7     2       5.5895393039E-003
#     -7     3       3.8817504134E-003
#     -7     4       4.1586664998E-003
#     -7     5       5.0746809740E-003
#     -7     6       3.9907789390E-004
#     -7     7       1.5854754193E-003
#     -7     8       6.1414422636E-005
#     -7     9       6.3762504944E-004
#     -6   -10       1.0169763308E-005
#     -6    -9       5.1754430132E-004
#     -6    -8       1.0369536824E-003
#     -6    -7       1.9272446430E-004
#     -6    -6       4.0242387256E-003
#     -6    -5       5.3205265217E-003
#     -6    -4       7.3457806502E-004
#     -6    -3       1.5695624435E-003
#     -6    -2       7.1505720250E-004
#     -6    -1       4.1156090825E-004
#     -6     0       2.6888869718E-003
#     -6     1       3.5916697503E-003
#     -6     2       2.1379259028E-003
#     -6     3       1.2558804638E-002
#     -6     4       1.6673494693E-003
#     -6     5       2.0963910152E-003
#     -6     6       9.7008476517E-003
#     -6     7       1.0389863240E-003
#     -6     8       4.2866910579E-003
#     -6     9       1.4683433765E-003
#     -5   -10       3.1238316834E-004
#     -5    -9       2.6521264198E-004
#     -5    -8       1.7837590798E-004
#     -5    -7       2.9714983362E-003
#     -5    -6       5.1149874544E-003
#     -5    -5       7.0361698183E-003
#     -5    -4       2.4328621816E-003
#     -5    -3       1.0340188674E-002
#     -5    -2       5.5895245994E-003
#     -5    -1       3.5916647516E-003
#     -5     0       2.2494677770E-004
#     -5     1       3.8074899206E-003
#     -5     2       5.4065866348E-003
#     -5     3       8.9333732775E-004
#     -5     4       3.7674546621E-003
#     -5     5       3.7267139360E-003
#     -5     6       5.4490282107E-003
#     -5     7       6.3324922814E-003
#     -5     8       1.5003757188E-003
#     -4   -10       6.7977802959E-005
#     -4    -9       2.9990748798E-005
#     -4    -8       1.2186310863E-003
#     -4    -7       4.2977430045E-003
#     -4    -6       2.7303657561E-004
#     -4    -5       3.0432921241E-003
#     -4    -4       2.3342460473E-003
#     -4    -3       3.8817030018E-003
#     -4    -2       2.1379185943E-003
#     -4    -1       3.8075379239E-003
#     -4     0       1.3069798670E-002
#     -4     1       1.8611041164E-003
#     -4     2       6.2376570953E-003
#     -4     3       1.0652521379E-003
#     -4     4       1.0772109633E-002
#     -4     5       6.8764658487E-003
#     -4     6       2.5717346681E-002
#     -4     7       1.0357618196E-002
#     -3   -11       5.8496188674E-005
#     -3   -10       3.6951729800E-005
#     -3    -9       1.5138619997E-004
#     -3    -8       1.4445647632E-003
#     -3    -7       2.5699944170E-003
#     -3    -6       1.4101604608E-004
#     -3    -5       9.9265561918E-003
#     -3    -4       4.1587431659E-003
#     -3    -3       1.2558575923E-002
#     -3    -2       5.4065951391E-003
#     -3    -1       1.8610632219E-003
#     -3     0       3.6481567676E-003
#     -3     1       1.8240857269E-003
#     -3     2       3.9572755025E-003
#     -3     3       8.2981264896E-004
#     -3     4       9.3994530302E-003
#     -3     5       4.1572885402E-003
#     -3     6       8.7248408071E-003
#     -3     7       4.9828081917E-003
