 Diffraction intensities for potential:ensembletest210006.in                   
#    -25   -11       6.3020087368E-005
#    -25   -10       2.7277187926E-004
#    -25    -9       3.1219315284E-005
#    -25    -8       3.2518784261E-006
#    -25    -7       2.0283479341E-006
#    -25    -6       1.9559701675E-005
#    -25    -5       8.6908766919E-004
#    -25    -4       2.6846919899E-005
#    -25    -3       1.6275157084E-006
#    -25    -2       1.2890806836E-005
#    -25    -1       3.9071079608E-005
#    -25     0       2.0628140121E-003
#    -25     1       1.2504843116E-005
#    -25     2       3.5818821568E-006
#    -25     3       9.5574727505E-006
#    -25     4       4.0585978545E-005
#    -25     5       4.2177820980E-003
#    -25     6       4.2256259509E-005
#    -25     7       1.2082367130E-005
#    -25     8       1.5996140513E-006
#    -25     9       2.4543329141E-005
#    -25    10       5.1827413702E-003
#    -25    11       4.5050693670E-005
#    -25    12       4.4166513823E-006
#    -25    13       2.2246351535E-005
#    -25    14       6.4236088251E-005
#    -25    15       2.4863766095E-003
#    -25    16       3.1725142319E-005
#    -25    17       4.6860612582E-006
#    -25    18       2.1486295836E-006
#    -25    19       5.5724561333E-005
#    -25    20       1.1843945998E-003
#    -25    21       1.5866144070E-004
#    -25    22       1.9963878511E-005
#    -25    23       4.3904814651E-005
#    -25    24       1.0214907488E-004
#    -25    25       1.2709500382E-004
#    -25    26       1.3123810067E-004
#    -25    27       4.6083727324E-006
#    -24   -20       2.2084678023E-005
#    -24   -19       1.0179174159E-004
#    -24   -18       6.0632134483E-005
#    -24   -17       8.0902214920E-006
#    -24   -16       1.8717117756E-005
#    -24   -15       1.1027345473E-004
#    -24   -14       2.0479312811E-004
#    -24   -13       1.0822806955E-004
#    -24   -12       1.2450575083E-005
#    -24   -11       3.1352368716E-006
#    -24   -10       2.2073681927E-005
#    -24    -9       3.4210060331E-005
#    -24    -8       1.9658821310E-005
#    -24    -7       2.6750981747E-006
#    -24    -6       4.3423248953E-006
#    -24    -5       3.7647618233E-005
#    -24    -4       6.3492129382E-005
#    -24    -3       3.6217965739E-005
#    -24    -2       3.9805380934E-006
#    -24    -1       3.1652687299E-006
#    -24     0       2.6587919494E-006
#    -24     1       2.2047693557E-005
#    -24     2       3.1217396707E-005
#    -24     3       7.6371496686E-006
#    -24     4       2.3089261168E-006
#    -24     5       7.5110482707E-006
#    -24     6       4.5433910339E-006
#    -24     7       2.5802255350E-006
#    -24     8       1.7536061924E-006
#    -24     9       8.9552095185E-007
#    -24    10       4.1860172446E-005
#    -24    11       1.2125419993E-004
#    -24    12       9.9193726313E-005
#    -24    13       7.1654914023E-006
#    -24    14       1.4653354707E-005
#    -24    15       5.0335254937E-005
#    -24    16       6.3493479017E-005
#    -24    17       2.7623136791E-005
#    -24    18       1.9534899519E-005
#    -24    19       5.8498195546E-006
#    -24    20       1.5983335370E-004
#    -24    21       3.7512120237E-004
#    -24    22       1.7587647774E-004
#    -24    23       1.3241659131E-005
#    -24    24       7.5807027518E-005
#    -24    25       1.4757854439E-004
#    -24    26       1.4077347136E-004
#    -23   -20       7.7874239291E-006
#    -23   -19       8.1185997704E-005
#    -23   -18       1.5094226732E-004
#    -23   -17       1.1414660478E-004
#    -23   -16       1.2348571956E-005
#    -23   -15       2.2848138380E-005
#    -23   -14       1.0474765802E-004
#    -23   -13       1.2111020168E-004
#    -23   -12       7.0650500714E-005
#    -23   -11       7.0266484104E-006
