 Diffraction intensities for potential:smallensembletest10002.in               
#    -16     2       1.2334993723E-005
#    -16     3       5.3965949152E-005
#    -16     4       1.2631598035E-002
#    -16     5       1.5249217190E-004
#    -16     6       1.3466137917E-005
#    -16     7       3.8367982006E-004
#    -16     8       8.1030005420E-003
#    -16     9       4.7428669112E-004
#    -16    10       2.5048130555E-005
#    -16    11       3.3898917961E-004
#    -16    12       1.3683197629E-003
#    -16    13       2.5939430444E-004
#    -16    14       1.6810276352E-005
#    -16    15       1.1414108533E-004
#    -16    16       2.7795851846E-003
#    -16    17       1.4044374785E-004
#    -16    18       1.6972110873E-006
#    -16    19       1.0176808982E-004
#    -16    20       1.8376056284E-003
#    -15   -18       2.0320613367E-005
#    -15   -17       1.1187982986E-006
#    -15   -16       2.2640448279E-004
#    -15   -15       4.8716603915E-004
#    -15   -14       8.0233280578E-005
#    -15   -13       5.3304398520E-006
#    -15   -12       3.0884249106E-004
#    -15   -11       4.0366799930E-004
#    -15   -10       5.4098195859E-005
#    -15    -9       1.5413725942E-005
#    -15    -8       2.6580285364E-005
#    -15    -7       1.4673344610E-004
#    -15    -6       1.0267374698E-004
#    -15    -5       1.2666509305E-005
#    -15    -4       6.9682685948E-005
#    -15    -3       2.0368775625E-004
#    -15    -2       1.0554473493E-004
#    -15    -1       1.0521858668E-005
#    -15     0       3.1034402473E-005
#    -15     1       2.0669014292E-004
#    -15     2       2.2779450347E-004
#    -15     3       4.5259512998E-006
#    -15     4       8.4887363682E-005
#    -15     5       1.0871378690E-004
#    -15     6       1.7766751743E-004
#    -15     7       2.4158430441E-006
#    -15     8       1.4193290782E-004
#    -15     9       2.1841374635E-004
#    -15    10       1.1867629036E-004
#    -15    11       2.8457671517E-005
#    -15    12       3.1673821399E-004
#    -15    13       3.8722315685E-004
#    -15    14       3.2925134790E-004
#    -15    15       4.6481000199E-005
#    -15    16       2.7028550268E-005
#    -15    17       1.7250976303E-004
#    -15    18       3.2084413255E-005
#    -15    19       2.7150236482E-005
#    -15    20       5.3159761625E-004
#    -14   -19       5.4639012829E-005
#    -14   -18       2.3797036470E-004
#    -14   -17       1.7726766687E-004
#    -14   -16       9.8475843743E-006
#    -14   -15       2.4266893370E-004
#    -14   -14       3.0848004548E-004
#    -14   -13       1.2391140464E-004
#    -14   -12       6.7362477556E-006
#    -14   -11       1.3118127675E-004
#    -14   -10       1.9028758590E-005
#    -14    -9       5.9750782958E-005
#    -14    -8       1.8389098535E-005
#    -14    -7       9.3181717546E-005
#    -14    -6       1.2684176245E-004
#    -14    -5       9.6377461911E-006
#    -14    -4       5.6807644088E-006
#    -14    -3       2.8483415563E-005
#    -14    -2       6.0281605784E-006
#    -14    -1       9.0241764641E-005
#    -14     0       1.3591588867E-005
#    -14     1       6.9488241263E-004
#    -14     2       1.0135358242E-003
#    -14     3       2.4486738642E-004
#    -14     4       7.0351383164E-006
#    -14     5       3.5102717760E-004
#    -14     6       8.3668995513E-004
#    -14     7       2.2441089723E-004
#    -14     8       8.4775170165E-006
#    -14     9       1.3084038842E-005
#    -14    10       1.7964662398E-004
#    -14    11       2.5508168715E-005
#    -14    12       8.0079081125E-006
#    -14    13       3.4154999689E-005
#    -14    14       3.9469921725E-005
#    -14    15       4.1550192528E-005
#    -14    16       2.7776769788E-005
#    -14    17       2.1461646533E-005
#    -14    18       1.9079503703E-004
#    -14    19       4.3082077097E-004
#    -13   -19       1.5450609555E-007
#    -13   -18       1.4903693478E-004
#    -13   -17       5.8243759098E-004
#    -13   -16       1.7702550670E-004
#    -13   -15       5.5755544038E-006
#    -13   -14       1.1715178381E-004
#    -13   -13       2.2680969903E-004
#    -13   -12       6.1425414636E-005
#    -13   -11       1.0558521824E-005
#    -13   -10       2.8014677193E-005
#    -13    -9       1.8060177380E-004
#    -13    -8       1.4650320296E-004
#    -13    -7       2.5452566432E-005
#    -13    -6       4.7350829302E-005
#    -13    -5       1.0927444358E-004
#    -13    -4       7.8115680522E-005
#    -13    -3       8.1147887688E-006
#    -13    -2       2.4208189537E-004
#    -13    -1       1.3670750427E-003
#    -13     0       1.0790541779E-003
#    -13     1       1.8614005945E-006
#    -13     2       9.2386299844E-004
#    -13     3       1.3908806649E-003
#    -13     4       9.4244598093E-004
#    -13     5       1.2994023673E-005
#    -13     6       5.3708811759E-004
#    -13     7       4.3060510853E-004
#    -13     8       1.1369944217E-004
#    -13     9       2.3638053676E-005
#    -13    10       1.5284346952E-004
#    -13    11       2.4264414449E-005
#    -13    12       3.3910901383E-005
#    -13    13       3.0348105408E-005
#    -13    14       1.6968306267E-004
#    -13    15       7.9744639582E-005
#    -13    16       3.0045902163E-004
#    -13    17       8.2663764328E-006
#    -13    18       3.0719816221E-004
#    -13    19       7.8579628528E-004
#    -12   -20       4.3898318785E-005
#    -12   -19       9.8377234036E-005
#    -12   -18       5.0623293167E-006
#    -12   -17       1.9199764116E-004
#    -12   -16       4.0522811102E-004
#    -12   -15       5.2618335973E-005
#    -12   -14       7.9771915420E-006
#    -12   -13       4.8084060431E-005
#    -12   -12       1.0743306019E-003
#    -12   -11       1.3328163953E-004
#    -12   -10       1.4223108287E-005
#    -12    -9       7.2687576040E-005
#    -12    -8       5.1252225752E-003
#    -12    -7       3.4133464122E-005
#    -12    -6       2.2725130694E-005
#    -12    -5       2.1580929603E-004
#    -12    -4       1.3579142552E-002
#    -12    -3       1.0313872091E-004
#    -12    -2       1.1697169790E-005
#    -12    -1       1.2640422290E-003
#    -12     0       2.2770380585E-002
#    -12     1       1.2702239997E-003
#    -12     2       1.2200529680E-007
#    -12     3       5.4811509756E-004
#    -12     4       2.2423517300E-002
#    -12     5       5.3886935709E-004
#    -12     6       3.6200133032E-005
#    -12     7       7.7747217713E-005
#    -12     8       1.2118569835E-002
#    -12     9       4.1560129049E-004
#    -12    10       2.8346328964E-005
#    -12    11       4.2136209854E-005
#    -12    12       1.4106786971E-002
#    -12    13       7.3000845725E-005
#    -12    14       1.5162794498E-005
#    -12    15       3.8572722381E-004
#    -12    16       1.0301263587E-003
#    -12    17       1.7325703134E-004
#    -12    18       3.1909576763E-005
#    -11   -20       1.2416265763E-004
#    -11   -19       3.9993330610E-004
