Diffraction intensities for potential:_5x5_05D10003.in                        
#    -26    16       1.8037192877E-005
#    -26    17       2.3605780699E-007
#    -26    18       1.1769034204E-004
#    -26    19       4.4491641036E-005
#    -26    20       1.7328114349E-004
#    -26    21       1.6661136599E-005
#    -26    22       9.6028857953E-005
#    -26    23       3.3401509720E-004
#    -26    24       2.6442389305E-005
#    -26    25       2.7576963970E-005
#    -26    26       1.0214823902E-004
#    -26    27       1.0039276165E-004
#    -25   -19       7.9674816284E-006
#    -25   -18       6.4611381281E-005
#    -25   -17       6.8548731094E-005
#    -25   -16       9.0176566891E-005
#    -25   -15       1.7036849097E-003
#    -25   -14       1.2177842137E-004
#    -25   -13       2.6599011268E-004
#    -25   -12       2.0156329756E-004
#    -25   -11       6.6120452165E-005
#    -25   -10       1.5778343266E-003
#    -25    -9       2.4662197088E-005
#    -25    -8       5.5949288929E-005
#    -25    -7       4.6388639774E-005
#    -25    -6       1.8467316866E-005
#    -25    -5       1.4213135685E-003
#    -25    -4       1.2719634483E-005
#    -25    -3       3.0041051957E-005
#    -25    -2       1.0628910560E-004
#    -25    -1       9.7262664085E-006
#    -25     0       2.1849711077E-003
#    -25     1       3.8267176185E-006
#    -25     2       9.5878346425E-005
#    -25     3       4.5471675310E-005
#    -25     4       3.7409325023E-005
#    -25     5       3.5161536416E-003
#    -25     6       2.6380181340E-006
#    -25     7       5.2299458657E-006
#    -25     8       1.4741504583E-004
#    -25     9       6.2910988423E-005
#    -25    10       4.8806755903E-003
#    -25    11       7.5534335846E-005
#    -25    12       2.8295006366E-004
#    -25    13       2.1312820276E-004
#    -25    14       1.1801072106E-004
#    -25    15       5.0443613718E-003
#    -25    16       1.6708825153E-005
#    -25    17       4.1135721408E-005
#    -25    18       2.2289203866E-005
#    -25    19       6.5390745968E-005
#    -25    20       2.6823046565E-003
#    -25    21       4.1550918552E-005
#    -25    22       1.6905895073E-004
#    -25    23       2.0034866815E-004
#    -25    24       2.2802098827E-004
#    -25    25       1.3463510203E-003
#    -25    26       2.3974299924E-004
#    -25    27       1.5451643444E-004
#    -24   -20       1.9592381273E-005
#    -24   -19       3.2327410167E-005
#    -24   -18       2.8605139053E-004
#    -24   -17       2.6923535237E-005
#    -24   -16       6.9895248018E-005
#    -24   -15       6.0940847308E-005
#    -24   -14       8.5996227985E-005
#    -24   -13       4.2311128656E-004
#    -24   -12       5.5925358728E-005
#    -24   -11       8.9586114342E-005
#    -24   -10       1.6304579447E-006
#    -24    -9       1.6721008819E-005
#    -24    -8       1.1867259471E-004
#    -24    -7       3.8908730633E-006
#    -24    -6       3.6061735305E-005
#    -24    -5       1.1128606572E-005
#    -24    -4       3.6447881405E-005
#    -24    -3       2.0155338752E-004
#    -24    -2       2.9091545396E-006
#    -24    -1       5.3671355530E-005
#    -24     0       1.0045118384E-004
#    -24     1       1.9982249037E-005
#    -24     2       1.2685231225E-004
#    -24     3       2.3732067295E-005
#    -24     4       2.6878724734E-005
#    -24     5       2.6947425702E-005
#    -24     6       2.2288925964E-006
#    -24     7       6.9591300035E-006
#    -24     8       3.6427220033E-005
#    -24     9       5.7080486793E-006
#    -24    10       6.2103559135E-005
#    -24    11       7.2621498389E-007
#    -24    12       4.6247745531E-004
#    -24    13       5.2515609553E-005
#    -24    14       1.2579346394E-004
#    -24    15       4.1019394201E-005
#    -24    16       6.1805113963E-005
#    -24    17       1.6296217877E-004
#    -24    18       3.3515381397E-005
#    -24    19       5.5159871458E-005
#    -24    20       5.7762889843E-005
#    -24    21       1.8219786903E-004
#    -24    22       6.8597100025E-004
#    -24    23       2.3505416175E-006
#    -24    24       1.3995493237E-004
#    -24    25       1.4609531223E-004
#    -24    26       1.0937261912E-004
#    -23   -20       1.0282121677E-005
#    -23   -19       4.6906298864E-004
#    -23   -18       4.6806311783E-004
#    -23   -17       1.8185473234E-005
#    -23   -16       5.3270819319E-005
#    -23   -15       4.5588995890E-005
#    -23   -14       9.7854005090E-004
#    -23   -13       8.3943194213E-004
#    -23   -12       4.0702251465E-005
#    -23   -11       4.5187669235E-005
#    -23   -10       1.0975826387E-005
#    -23    -9       2.0565626080E-004
#    -23    -8       1.8724504361E-004
#    -23    -7       1.9689060079E-005
#    -23    -6       7.8149487571E-005
#    -23    -5       3.8520082843E-005
#    -23    -4       2.8734335126E-004
#    -23    -3       5.5820690571E-005
#    -23    -2       8.2612029942E-006
#    -23    -1       8.0104051817E-005
#    -23     0       1.3428373521E-007
#    -23     1       1.0528662102E-003
#    -23     2       9.4125151634E-004
#    -23     3       2.1202247702E-005
#    -23     4       3.6427397730E-005
#    -23     5       2.3351115182E-005
#    -23     6       4.5977971376E-005
#    -23     7       3.2531862996E-004
#    -23     8       7.5761417419E-008
#    -23     9       4.7076403657E-006
#    -23    10       4.9906728192E-005
#    -23    11       1.4587851375E-003
#    -23    12       1.0141296762E-003
#    -23    13       1.8559493969E-004
#    -23    14       9.0546168611E-005
#    -23    15       6.4721467973E-005
