 Diffraction intensities for potential:6x6MoS2_ikbt_4_mu_half10001.in          
#    -36     8       7.0737562480E-006
#    -36     9       7.8451381363E-006
#    -36    10       1.8086901778E-005
#    -36    11       3.9102713580E-005
#    -36    12       5.1184582710E-004
#    -36    13       4.6578197638E-005
#    -36    14       2.6837863382E-005
#    -36    15       1.9330493551E-005
#    -36    16       2.3970660295E-005
#    -36    17       3.7291068035E-005
#    -36    18       4.3295929883E-004
#    -36    19       3.4402274875E-005
#    -36    20       1.4054149906E-005
#    -36    21       4.7648451743E-006
#    -36    22       4.8374440733E-006
#    -36    23       7.2308575687E-006
#    -36    24       6.8573924610E-005
#    -36    25       3.5078332131E-006
#    -36    26       1.0817014610E-006
#    -36    27       6.1008467981E-007
#    -36    28       1.2210482389E-006
#    -36    29       1.9339926140E-006
#    -36    30       2.2808742146E-005
#    -36    31       2.3384794739E-006
#    -36    32       3.7732569544E-007
#    -36    33       9.0264527569E-008
#    -35   -19       1.9171046128E-008
#    -35   -18       9.5789129545E-009
#    -35   -17       4.5444444599E-008
#    -35   -16       1.3886032293E-007
#    -35   -15       3.0657360103E-007
#    -35   -14       5.2711102324E-007
#    -35   -13       7.5931845229E-007
#    -35   -12       1.1574994550E-006
#    -35   -11       7.6704079976E-007
#    -35   -10       2.8347106263E-007
#    -35    -9       6.1761889391E-007
#    -35    -8       2.8551741557E-006
#    -35    -7       7.7766550199E-006
#    -35    -6       1.1758351362E-005
#    -35    -5       1.0507579395E-005
#    -35    -4       6.3066636783E-006
#    -35    -3       1.9850238153E-006
#    -35    -2       4.7497299669E-007
#    -35    -1       7.4406183717E-006
#    -35     0       1.5237034158E-005
#    -35     1       1.0313784170E-005
#    -35     2       5.7948131855E-006
#    -35     3       3.2638094132E-006
#    -35     4       3.0954722987E-006
#    -35     5       1.5961205884E-005
#    -35     6       2.7139768333E-005
#    -35     7       1.1803305379E-005
#    -35     8       1.1986158075E-006
#    -35     9       2.1867176674E-006
#    -35    10       1.4298188077E-005
#    -35    11       4.2305675438E-005
#    -35    12       5.9397917073E-005
#    -35    13       3.6544762544E-005
#    -35    14       1.8306449984E-005
#    -35    15       1.4895498311E-005
#    -35    16       2.5013045546E-005
#    -35    17       4.1940733401E-005
#    -35    18       4.0724978112E-005
#    -35    19       1.8201309578E-005
#    -35    20       7.0120242685E-006
#    -35    21       5.6236961119E-006
#    -35    22       8.0680569995E-006
#    -35    23       9.0970005385E-006
#    -35    24       3.6626289977E-006
#    -35    25       1.6841741752E-006
#    -35    26       1.4700930075E-007
#    -35    27       5.4345090967E-007
#    -35    28       1.7066862614E-006
#    -35    29       2.9766044058E-006
#    -35    30       2.0910768514E-006
#    -35    31       7.0293839880E-007
#    -35    32       1.3399234990E-007
#    -35    33       6.9422064512E-008
#    -34   -20       1.1538858961E-008
#    -34   -19       1.2572056299E-009
#    -34   -18       3.6843219454E-008
#    -34   -17       9.4468253598E-008
#    -34   -16       1.8568346019E-007
#    -34   -15       4.3366631829E-007
#    -34   -14       6.6607033216E-007
#    -34   -13       7.6232077718E-007
#    -34   -12       7.0770330206E-007
#    -34   -11       3.0270846857E-007
#    -34   -10       1.5791391692E-007
#    -34    -9       1.1057850029E-006
#    -34    -8       4.4595123711E-006
#    -34    -7       9.6046956386E-006
#    -34    -6       1.2841934097E-005
#    -34    -5       1.1842090056E-005
#    -34    -4       8.0359611608E-006
#    -34    -3       2.2854021031E-006
#    -34    -2       1.6695248548E-006
#    -34    -1       1.0316989908E-005
#    -34     0       1.7578159411E-005
#    -34     1       1.9293431327E-005
#    -34     2       1.7178771719E-005
#    -34     3       6.1676915317E-006
#    -34     4       2.5767125379E-007
#    -34     5       8.5704598183E-006
#    -34     6       1.2033573800E-005
#    -34     7       7.5039357802E-006
#    -34     8       4.4072372226E-006
#    -34     9       1.2268290935E-007
#    -34    10       7.1499775434E-006
#    -34    11       2.7045501085E-005
#    -34    12       3.0520344032E-005
#    -34    13       1.9946735670E-005
#    -34    14       1.3920313352E-005
#    -34    15       1.5085574710E-005
#    -34    16       2.3571937025E-005
#    -34    17       2.8513057835E-005
#    -34    18       1.9538856143E-005
#    -34    19       8.9898666330E-006
#    -34    20       7.3833409197E-006
#    -34    21       9.9090383093E-006
#    -34    22       9.0363878143E-006
#    -34    23       6.0135188698E-006
#    -34    24       1.5340508782E-006
#    -34    25       3.0461204491E-007
