 Diffraction intensities for potential:4x4MoS210001.in                         
#    -17     8       2.4314249742E-004
#    -17     9       2.0858385183E-004
#    -17    10       1.1174997222E-004
#    -17    11       1.6500968866E-004
#    -17    12       1.9344636854E-004
#    -17    13       1.6596388835E-004
#    -17    14       2.0660328507E-004
#    -17    15       1.0021966465E-004
#    -17    16       4.9953953562E-005
#    -17    17       8.4508285716E-005
#    -17    18       2.6289443616E-005
#    -17    19       7.8015244589E-005
#    -17    20       1.7388865882E-004
#    -16   -18       2.7046090494E-005
#    -16   -17       4.4884249621E-005
#    -16   -16       7.6610689098E-005
#    -16   -15       9.5384172089E-005
#    -16   -14       1.2451772871E-004
#    -16   -13       1.1270890221E-004
#    -16   -12       3.1152970365E-004
#    -16   -11       8.4763904735E-005
#    -16   -10       4.6759694572E-005
#    -16    -9       7.1701412100E-006
#    -16    -8       8.1144435721E-004
#    -16    -7       3.0419761107E-005
#    -16    -6       5.2518646901E-005
#    -16    -5       6.1942749124E-005
#    -16    -4       3.9885941093E-003
#    -16    -3       5.9889430697E-005
#    -16    -2       1.1360998436E-004
#    -16    -1       1.3652245044E-004
#    -16     0       1.3157597636E-002
#    -16     1       1.0318494123E-005
#    -16     2       4.4610902050E-006
#    -16     3       2.8800667661E-005
#    -16     4       1.4959935892E-002
#    -16     5       6.1450143363E-005
#    -16     6       8.0258321167E-005
#    -16     7       1.5134521858E-004
#    -16     8       1.0777821514E-002
#    -16     9       1.2469111331E-004
#    -16    10       1.4186966547E-004
#    -16    11       1.0531171814E-004
#    -16    12       2.3062791296E-003
#    -16    13       1.7679252085E-004
#    -16    14       7.0543571900E-005
#    -16    15       1.1404630991E-004
#    -16    16       2.5630836365E-003
#    -16    17       4.4565443137E-005
#    -16    18       1.7522434296E-004
#    -16    19       4.6403929239E-005
#    -16    20       8.4927714536E-004
#    -15   -18       1.1940844606E-005
#    -15   -17       8.3765861539E-005
#    -15   -16       1.1227713112E-004
#    -15   -15       1.1957663646E-004
#    -15   -14       7.7977253995E-005
#    -15   -13       1.4003378600E-004
#    -15   -12       1.2383533956E-004
#    -15   -11       8.0530220931E-005
#    -15   -10       1.6519492173E-005
#    -15    -9       1.0978402021E-006
#    -15    -8       3.2334683765E-005
#    -15    -7       7.3702276885E-005
#    -15    -6       8.2161310089E-005
#    -15    -5       4.6695052692E-005
#    -15    -4       2.3836297925E-005
#    -15    -3       5.5180086284E-005
#    -15    -2       5.0984812956E-005
#    -15    -1       1.0450730876E-005
#    -15     0       2.0679899336E-005
#    -15     1       6.8362550130E-005
#    -15     2       1.2110327008E-004
#    -15     3       8.7715676614E-005
#    -15     4       2.9180690277E-005
#    -15     5       3.5473247461E-005
#    -15     6       8.3740358707E-005
#    -15     7       1.2176860870E-004
#    -15     8       7.4482307297E-005
#    -15     9       4.4534039545E-005
#    -15    10       3.4531149959E-005
#    -15    11       8.9590275609E-005
#    -15    12       1.9177565215E-004
#    -15    13       1.2688045258E-004
#    -15    14       1.3156733385E-004
#    -15    15       3.3074366953E-005
#    -15    16       2.5639905629E-006
#    -15    17       4.0785221682E-005
#    -15    18       2.1466282271E-005
#    -15    19       5.9541142080E-005
#    -15    20       4.2749601680E-004
#    -14   -19       2.2651362976E-005
#    -14   -18       7.1361114417E-005
#    -14   -17       7.3579674173E-005
#    -14   -16       1.0025657520E-004
#    -14   -15       1.0218522156E-004
#    -14   -14       9.8001199988E-005
#    -14   -13       8.6188870740E-005
#    -14   -12       8.0444947415E-005
#    -14   -11       3.5607441281E-005
#    -14   -10       3.1940584794E-007
#    -14    -9       3.3553202000E-005
#    -14    -8       8.3361767091E-005
#    -14    -7       9.5988354753E-005
#    -14    -6       5.8878650190E-005
#    -14    -5       6.9204613212E-006
#    -14    -4       1.1834732853E-005
#    -14    -3       2.7893622129E-005
#    -14    -2       4.4213160180E-006
#    -14    -1       6.8069604331E-005
#    -14     0       2.6002688886E-004
#    -14     1       3.7688505526E-004
#    -14     2       2.8658770522E-004
#    -14     3       1.4283345623E-004
#    -14     4       1.4187151149E-004
#    -14     5       2.1542805524E-004
#    -14     6       2.0898878460E-004
#    -14     7       1.9086167286E-004
#    -14     8       2.9012469788E-005
#    -14     9       2.3768080499E-006
#    -14    10       3.8115497745E-005
#    -14    11       2.1453842741E-005
#    -14    12       1.1866857856E-004
#    -14    13       4.6464576941E-005
#    -14    14       6.2873503757E-007
#    -14    15       3.9950514753E-005
#    -14    16       9.1705996938E-005
#    -14    17       4.0361873466E-005
#    -14    18       1.8728681252E-005
#    -14    19       9.9219502089E-005
#    -13   -19       1.4819442817E-004
#    -13   -18       1.1202566675E-004
#    -13   -17       1.3009405713E-004
#    -13   -16       1.1752123509E-004
#    -13   -15       9.1795167520E-005
#    -13   -14       7.1906163655E-005
#    -13   -13       6.3820538342E-005
#    -13   -12       4.6280978388E-005
#    -13   -11       3.3011818027E-006
#    -13   -10       2.3239922657E-005
#    -13    -9       7.0760924026E-005
#    -13    -8       7.1339961971E-005
#    -13    -7       4.1192001731E-005
#    -13    -6       9.4918529679E-006
#    -13    -5       1.6759945011E-005
#    -13    -4       3.5447131393E-005
#    -13    -3       2.8645961791E-005
#    -13    -2       1.2039352762E-004
#    -13    -1       3.7634560368E-004
#    -13     0       6.1724906470E-004
#    -13     1       5.5451629401E-004
#    -13     2       4.2977574395E-004
#    -13     3       3.1343858137E-004
#    -13     4       3.4483116026E-004
#    -13     5       3.4731178548E-004
#    -13     6       2.5944387464E-004
#    -13     7       1.1489552198E-004
#    -13     8       1.7924773845E-005
#    -13     9       3.1075400071E-005
#    -13    10       9.1956767115E-005
#    -13    11       2.1604862714E-005
#    -13    12       1.4076826863E-005
