 Diffraction intensities for potential:3x3ikbt_0410001.in                      
#     -4    -1       7.6450304553E-004
#     -4     0       4.9713432429E-004
#     -4     1       9.4462951611E-005
#     -4     2       1.6522048044E-003
#     -4     3       1.0126529846E-003
#     -4     4       5.9852793286E-004
#     -4     5       5.9360044885E-004
#     -4     6       3.9184729088E-003
#     -4     7       3.0049889225E-003
#     -4     8       7.8798858662E-005
#     -4     9       4.6403216087E-003
#     -4    10       1.8073055900E-003
#     -3   -16       1.4255468511E-005
#     -3   -15       4.1164514666E-005
#     -3   -14       3.6283786035E-005
#     -3   -13       5.7068219881E-005
#     -3   -12       2.8077247083E-004
#     -3   -11       9.9773798231E-005
#     -3   -10       5.3044163969E-004
#     -3    -9       2.0258382129E-003
#     -3    -8       1.4068411867E-003
#     -3    -7       8.1525442511E-004
#     -3    -6       7.3736627702E-003
#     -3    -5       9.1926310775E-004
#     -3    -4       1.5463424222E-003
#     -3    -3       1.0475584697E-002
#     -3    -2       1.9158648471E-003
#     -3    -1       9.4246005398E-005
#     -3     0       7.7580027141E-003
#     -3     1       7.4170598038E-004
#     -3     2       1.3383588456E-003
#     -3     3       1.9234676087E-003
#     -3     4       7.8591214758E-004
#     -3     5       1.7223189891E-003
#     -3     6       4.3395995648E-002
#     -3     7       2.8901243838E-003
#     -3     8       2.1321069600E-003
#     -3     9       1.6172212110E-002
#     -2   -16       1.1716762753E-005
#     -2   -15       2.2002614634E-005
#     -2   -14       4.3752423384E-005
#     -2   -13       1.7107608149E-005
#     -2   -12       1.7970467398E-005
#     -2   -11       1.5012524483E-004
#     -2   -10       1.8987045331E-004
#     -2    -9       9.5013254351E-005
#     -2    -8       3.0584143754E-004
#     -2    -7       1.1415330992E-003
#     -2    -6       1.6649669462E-004
#     -2    -5       1.5950977286E-003
#     -2    -4       4.6162179205E-003
#     -2    -3       3.3078946094E-003
#     -2    -2       1.6508924824E-003
#     -2    -1       7.4008707761E-004
#     -2     0       2.1761942889E-003
#     -2     1       1.3241814074E-003
#     -2     2       1.1025181748E-003
#     -2     3       3.1559487892E-004
#     -2     4       6.3903593869E-004
#     -2     5       5.1267019393E-004
#     -2     6       5.5945707784E-003
#     -2     7       2.9127443761E-003
#     -2     8       2.3207172298E-003
#     -1   -16       8.0228903293E-006
#     -1   -15       2.3147633309E-005
#     -1   -14       3.7064205340E-006
#     -1   -13       9.9842098552E-005
#     -1   -12       4.2157756585E-004
#     -1   -11       2.3039836035E-004
#     -1   -10       2.7291070302E-004
#     -1    -9       1.5251821393E-003
#     -1    -8       7.6946302207E-004
#     -1    -7       6.7911526950E-004
#     -1    -6       1.3717788414E-003
#     -1    -5       1.1398483471E-003
#     -1    -4       1.3832650854E-003
#     -1    -3       1.0121617801E-003
#     -1    -2       1.3362021095E-003
#     -1    -1       1.3233676639E-003
#     -1     0       9.9987572462E-004
#     -1     1       6.9165537323E-004
#     -1     2       7.1216455556E-004
#     -1     3       1.1311659593E-003
#     -1     4       3.4763365499E-003
#     -1     5       1.5572041535E-004
#     -1     6       5.1226478764E-004
#     -1     7       2.9373872008E-003
#      0   -16       4.3374257187E-005
#      0   -15       7.9247425364E-005
#      0   -14       2.6141322663E-005
#      0   -13       4.5975587145E-004
#      0   -12       8.8290758091E-004
#      0   -11       2.5514377729E-004
#      0   -10       9.0123551074E-004
#      0    -9       8.5443209729E-003
#      0    -8       9.6069919543E-004
#      0    -7       2.2887914979E-003
#      0    -6       6.5540048956E-003
#      0    -5       2.8789684471E-003
#      0    -4       5.9767856242E-004
#      0    -3       1.9269754838E-003
#      0    -2       1.1004900163E-003
#      0    -1       6.9240219048E-004
#      0     0       5.4257452236E-002
#      0     1       8.0533053309E-004
#      0     2       1.0893162142E-003
#      0     3       1.1872923293E-002
#      0     4       1.1661998985E-003
#      0     5       1.3877565634E-003
#      0     6       1.1812807645E-002
#      1   -16       2.1483347404E-005
#      1   -15       2.5265506115E-005
#      1   -14       1.1478129699E-004
#      1   -13       5.0649953673E-004
#      1   -12       5.9739836083E-004
#      1   -11       1.5978225726E-004
#      1   -10       2.0776895007E-004
#      1    -9       1.9219611441E-004
#      1    -8       7.8411002655E-004
#      1    -7       1.3230952189E-003
#      1    -6       9.4246807268E-004
#      1    -5       5.9336525891E-004
#      1    -4       7.8454964765E-004
#      1    -3       3.1500018394E-004
#      1    -2       7.1218497029E-004
#      1    -1       8.0503422090E-004
#      1     0       1.2798834052E-003
#      1     1       5.3435281984E-003
#      1     2       3.8871923271E-003
#      1     3       2.6792967217E-003
#      1     4       2.3512695725E-003
#      1     5       4.1175819130E-003
#      2   -16       1.5244647406E-005
#      2   -15       6.3895626003E-005
#      2   -14       3.8580468943E-005
#      2   -13       2.2694988182E-005
#      2   -12       9.9776738885E-006
#      2   -11       8.3731483199E-005
#      2   -10       1.0214454515E-003
#      2    -9       2.5373235148E-003
#      2    -8       1.0126741365E-003
#      2    -7       6.0154422559E-004
#      2    -6       3.9212083097E-003
#      2    -5       1.7252488189E-003
#      2    -4       6.3905126644E-004
#      2    -3       1.1303680720E-003
#      2    -2       1.0865659248E-003
#      2    -1       5.3400361155E-003
#      2     0       6.6549266199E-003
#      2     1       3.1081818497E-003
#      2     2       3.9477602152E-003
#      2     3       5.6600196528E-003
#      3   -15       1.2227618580E-004
#      3   -14       1.5817790253E-005
#      3   -13       1.8778679516E-004
#      3   -12       1.1268167146E-003
#      3   -11       5.6481699407E-004
#      3   -10       1.7117089706E-003
#      3    -9       1.2566893889E-002
#      3    -8       5.2085421865E-004
#      3    -7       3.0096293333E-003
#      3    -6       4.3381353965E-002
#      3    -5       5.1291760023E-004
#      3    -4       3.4771687775E-003
#      3    -3       1.1877619217E-002
#      3    -2       3.8888280571E-003
#      3    -1       3.1063934967E-003
#      3     0       4.9126863761E-002
#      3     1       5.3213805195E-003
#      3     2       3.3759065587E-004
#      4   -14       1.0676808201E-004
#      4   -13       5.9809502961E-004
#      4   -12       5.2194468110E-004
#      4   -11       3.7569775717E-004
#      4   -10       1.8144277366E-003
#      4    -9       3.4407689780E-003
#      4    -8       7.8724071893E-005
#      4    -7       2.8906492821E-003
#      4    -6       5.5951668148E-003
#      4    -5       1.5571956535E-004
#      4    -4       1.1661777627E-003
#      4    -3       2.6793936738E-003
#      4    -2       3.9481841411E-003
#      4    -1       5.3214834474E-003
#      4     0       9.2800667108E-003
#      5   -13       5.5673700997E-004
#      5   -12       1.4314705185E-003
#      5   -11       1.8544154033E-003
#      5   -10       3.3527632075E-003
#      5    -9       4.6388351879E-003
#      5    -8       2.1316450697E-003
#      5    -7       2.9121690561E-003
#      5    -6       5.1232815003E-004
#      5    -5       1.3877106010E-003
#      5    -4       2.3519154732E-003
#      5    -3       5.6617224742E-003
#      5    -2       3.3750158395E-004
#      6   -11       1.2739784533E-003
#      6   -10       1.8059730366E-003
#      6    -9       1.6176468532E-002
#      6    -8       2.3194808350E-003
#      6    -7       2.9356508326E-003
#      6    -6       1.1811848203E-002
#      6    -5       4.1176424692E-003
