 Diffraction intensities for potential:ensembletest10002.in                    
#    -26   -16       3.4336455100E-005
#    -26   -15       6.3032073509E-006
#    -26   -14       1.2146452575E-004
#    -26   -13       8.6302689198E-006
#    -26   -12       4.6011601248E-005
#    -26   -11       4.9715933053E-005
#    -26   -10       3.2660879913E-006
#    -26    -9       7.0253979572E-005
#    -26    -8       8.8012637624E-006
#    -26    -7       2.3514158342E-005
#    -26    -6       4.9157781288E-005
#    -26    -5       2.2930842476E-006
#    -26    -4       4.5246590285E-005
#    -26    -3       3.2857382478E-005
#    -26    -2       6.6957958263E-005
#    -26    -1       2.2220419384E-005
#    -26     0       2.5503457457E-005
#    -26     1       3.1044188432E-005
#    -26     2       2.9328485033E-006
#    -26     3       7.4171328936E-007
#    -26     4       3.6930545104E-005
#    -26     5       9.2402250510E-006
#    -26     6       7.3754235298E-005
#    -26     7       1.6954393233E-005
#    -26     8       5.0586222728E-005
#    -26     9       4.1189769316E-005
#    -26    10       1.0462000917E-005
#    -26    11       8.6409153839E-005
#    -26    12       2.9491803203E-005
#    -26    13       8.5325033479E-005
#    -26    14       8.2648746079E-005
#    -26    15       3.3533587130E-005
#    -26    16       5.1854579657E-005
#    -26    17       2.1038988200E-005
#    -26    18       3.1231072293E-005
#    -26    19       3.4600944990E-005
#    -26    20       1.6632620220E-005
#    -26    21       3.8610890370E-005
#    -26    22       4.1690504109E-005
#    -26    23       5.7923439433E-005
#    -26    24       1.0282286106E-005
#    -26    25       2.5241231445E-005
#    -26    26       3.6900080484E-004
#    -26    27       3.9803333261E-005
#    -25   -19       2.0273030980E-005
#    -25   -18       2.1421911129E-004
#    -25   -17       1.1207993652E-004
#    -25   -16       8.2203518050E-005
#    -25   -15       2.9236362296E-004
#    -25   -14       9.4387671273E-005
#    -25   -13       3.2724372591E-004
#    -25   -12       2.4695281092E-004
#    -25   -11       5.7165832937E-005
#    -25   -10       4.6659744926E-004
#    -25    -9       4.3082769440E-005
#    -25    -8       6.3870202805E-005
#    -25    -7       8.0401197468E-005
#    -25    -6       3.4020799005E-006
#    -25    -5       1.0526587450E-003
#    -25    -4       3.7948360712E-005
#    -25    -3       5.9848532898E-005
#    -25    -2       9.4167397700E-005
#    -25    -1       6.2997916215E-008
#    -25     0       2.0822596104E-003
#    -25     1       2.2920771321E-005
#    -25     2       2.7475823698E-005
#    -25     3       4.2515666271E-005
#    -25     4       9.9588272280E-006
#    -25     5       3.6591163366E-003
#    -25     6       2.3259840722E-005
