 Diffraction intensities for potential:gv5x5_30D10002.in                       
#     -9    10       9.2028075850E-004
#     -9    11       9.2616107373E-004
#     -9    12       2.7825336498E-004
#     -9    13       1.3058719751E-003
#     -9    14       6.5411265420E-004
#     -9    15       1.1677759209E-005
#     -9    16       2.5245640131E-004
#     -9    17       5.9481530084E-004
#     -9    18       6.6955970413E-005
#     -9    19       1.7197004100E-005
#     -9    20       1.3226085567E-004
#     -9    21       4.3182798551E-004
#     -9    22       6.5538616114E-004
#     -9    23       1.0977048908E-004
#     -9    24       8.0230553677E-005
#     -9    25       1.7861563935E-004
#     -9    26       1.6301032618E-004
#     -9    27       3.2356269393E-005
#     -8   -19       1.6875240706E-004
#     -8   -18       9.1036386699E-005
#     -8   -17       2.0651107993E-005
#     -8   -16       4.3318513362E-004
#     -8   -15       7.5327486051E-005
#     -8   -14       7.2140934695E-005
#     -8   -13       9.7788452481E-005
#     -8   -12       3.9930383315E-005
#     -8   -11       3.8953279637E-005
#     -8   -10       1.0191820730E-004
#     -8    -9       1.4797438874E-004
#     -8    -8       6.6813717550E-004
#     -8    -7       3.9420760637E-005
#     -8    -6       1.1162940216E-006
#     -8    -5       6.3180006113E-004
#     -8    -4       2.8212514711E-005
#     -8    -3       3.5972347771E-004
#     -8    -2       1.4190358901E-004
#     -8    -1       3.1338860335E-004
#     -8     0       2.0188462778E-004
#     -8     1       1.2121643855E-003
#     -8     2       3.6744598779E-004
#     -8     3       5.6608382179E-004
#     -8     4       1.7005658544E-004
#     -8     5       4.4702437868E-005
#     -8     6       1.0533423771E-005
#     -8     7       5.9985011530E-004
#     -8     8       1.4209489643E-003
#     -8     9       1.8882598511E-004
#     -8    10       9.1228621466E-004
#     -8    11       2.4141865833E-004
#     -8    12       4.3248206121E-004
#     -8    13       2.3728238363E-004
#     -8    14       2.2770146249E-004
#     -8    15       3.0582372536E-004
#     -8    16       2.4973322064E-004
#     -8    17       4.3474661519E-004
#     -8    18       3.6586095730E-005
#     -8    19       9.9555533652E-005
#     -8    20       3.2022071284E-004
#     -8    21       3.9896924026E-005
#     -8    22       9.0595866984E-005
#     -8    23       1.5895454186E-004
#     -8    24       1.4048125285E-004
#     -8    25       3.4843441587E-005
#     -8    26       6.6731046562E-005
#     -8    27       1.3794780608E-005
#     -7   -20       4.6163957852E-005
#     -7   -19       6.5297722679E-005
#     -7   -18       4.1593209834E-004
#     -7   -17       8.8099882487E-005
#     -7   -16       6.7473861920E-004
#     -7   -15       7.3959279395E-005
#     -7   -14       5.8416204400E-006
#     -7   -13       5.6796281211E-005
#     -7   -12       2.2476122671E-004
#     -7   -11       6.7666946383E-004
#     -7   -10       7.4832708443E-005
#     -7    -9       2.7544165468E-005
#     -7    -8       1.0635238112E-005
#     -7    -7       3.3280563179E-005
#     -7    -6       1.9554843944E-005
#     -7    -5       4.6794662417E-004
#     -7    -4       1.7736015922E-006
#     -7    -3       9.6824007050E-004
#     -7    -2       6.9983421452E-004
#     -7    -1       7.7570060145E-005
#     -7     0       6.5111469609E-004
#     -7     1       3.6341424596E-004
#     -7     2       7.8838980687E-004
#     -7     3       2.8891540357E-004
#     -7     4       2.1062446099E-004
#     -7     5       5.5911355615E-004
#     -7     6       9.4825670134E-004
#     -7     7       4.5429972795E-004
#     -7     8       4.3681594104E-004
#     -7     9       1.0133246802E-004
#     -7    10       5.9462796690E-004
#     -7    11       2.5458562881E-004
#     -7    12       4.1805353201E-004
#     -7    13       1.9997044296E-004
#     -7    14       4.9935209595E-004
