 Diffraction intensities for potential:restest_32_15010001.in                  
#    -27   -10       2.9405615880E-005
#    -27    -9       2.3015842354E-005
#    -27    -8       1.9749245815E-005
#    -27    -7       1.4673811298E-005
#    -27    -6       1.1832351185E-005
#    -27    -5       1.0854458770E-005
#    -27    -4       1.1702626436E-005
#    -27    -3       9.3505457797E-006
#    -27    -2       1.0972451316E-005
#    -27    -1       1.3583514447E-005
#    -27     0       1.6296606571E-005
#    -27     1       1.5098508811E-005
#    -27     2       1.2669765758E-005
#    -27     3       1.5666131112E-005
#    -27     4       1.8265350123E-005
#    -27     5       2.7195682081E-005
#    -27     6       2.9862489713E-005
#    -27     7       2.8479399031E-005
#    -27     8       2.2413338919E-005
#    -27     9       2.4599427318E-005
#    -27    10       3.9703748718E-005
#    -27    11       5.6942510095E-005
#    -27    12       7.9731601842E-005
#    -27    13       5.3464364846E-005
#    -27    14       5.1550300008E-005
#    -27    15       2.9074435977E-005
#    -27    16       1.5773048317E-005
#    -27    17       4.7089116163E-006
#    -27    18       1.2700735828E-005
#    -27    19       5.2644065602E-006
#    -27    20       1.3908053355E-005
#    -27    21       3.5218913545E-005
#    -27    22       5.6897630116E-005
#    -27    23       7.5255445375E-005
#    -27    24       7.6190432121E-005
#    -27    25       5.5403925663E-005
#    -27    26       3.8497532081E-005
#    -27    27       4.2511103320E-005
#    -26   -18       1.5233502822E-005
#    -26   -17       1.9015308321E-005
#    -26   -16       2.5775546801E-005
#    -26   -15       3.0414807552E-005
#    -26   -14       6.3418092981E-005
#    -26   -13       3.3987830978E-005
#    -26   -12       3.7156068468E-005
#    -26   -11       3.0250738399E-005
#    -26   -10       2.0780629883E-005
#    -26    -9       1.9384954013E-005
#    -26    -8       7.5755665795E-006
#    -26    -7       8.2748697696E-006
#    -26    -6       7.6067526937E-006
#    -26    -5       8.3058284395E-006
#    -26    -4       5.7516836183E-006
#    -26    -3       9.9142923211E-006
#    -26    -2       1.4047659015E-005
#    -26    -1       1.5089697383E-005
#    -26     0       1.5257288831E-005
#    -26     1       1.0937249768E-005
#    -26     2       9.9939081441E-006
#    -26     3       1.2328895775E-005
#    -26     4       2.2747102125E-005
#    -26     5       2.7466910560E-005
#    -26     6       3.0610541659E-005
#    -26     7       2.9563454215E-005
#    -26     8       2.4178799865E-005
#    -26     9       2.9944837469E-005
#    -26    10       3.2811692354E-005
#    -26    11       3.9402262121E-005
#    -26    12       4.7558032194E-005
#    -26    13       4.7818073568E-005
#    -26    14       2.9665729593E-005
#    -26    15       2.1075173426E-005
#    -26    16       1.4476777545E-005
#    -26    17       6.2487187182E-006
#    -26    18       7.4523188432E-006
#    -26    19       1.7903708136E-005
#    -26    20       2.2123265276E-005
#    -26    21       2.0382255013E-005
#    -26    22       3.6077342190E-005
#    -26    23       4.5412922212E-005
#    -26    24       1.1689513384E-004
#    -26    25       4.2852148800E-005
#    -26    26       9.4693950203E-005
#    -26    27       5.4445620236E-005
#    -25   -19       7.6696162164E-006
#    -25   -18       4.9422209160E-005
#    -25   -17       2.3230036346E-005
#    -25   -16       3.9702590331E-005
#    -25   -15       2.5357256176E-005
#    -25   -14       4.4085066793E-005
#    -25   -13       5.9112803238E-005
#    -25   -12       3.3311276492E-005
#    -25   -11       2.6747022005E-005
#    -25   -10       1.6020636486E-004
#    -25    -9       1.1675001666E-005
#    -25    -8       1.0052177410E-005
#    -25    -7       7.0721415991E-006
#    -25    -6       9.4471083844E-006
#    -25    -5       8.0586110628E-004
#    -25    -4       1.1184973784E-005
#    -25    -3       1.1626188962E-005
#    -25    -2       1.2654510715E-005
#    -25    -1       1.0931111902E-005
#    -25     0       2.3064976951E-003
#    -25     1       3.3478840682E-006
#    -25     2       5.4402161308E-006
#    -25     3       1.0019727375E-005
#    -25     4       1.4228062702E-005
#    -25     5       4.3886707201E-003
#    -25     6       2.3354711657E-005
#    -25     7       1.8202314126E-005
#    -25     8       1.7674370934E-005
#    -25     9       1.1766041359E-005
#    -25    10       4.8530869298E-003
#    -25    11       1.1217231955E-005
#    -25    12       2.8996497151E-005
#    -25    13       2.5118067910E-005
#    -25    14       1.8034371185E-005
#    -25    15       2.2816877824E-003
#    -25    16       1.7366278326E-005
#    -25    17       4.8956080723E-006
#    -25    18       1.1231333792E-005
#    -25    19       2.3227695291E-005
#    -25    20       7.6630512467E-004
#    -25    21       4.1104355317E-005
#    -25    22       5.1734147339E-005
#    -25    23       5.3137698988E-005
#    -25    24       4.4922135828E-005
#    -25    25       1.0240078109E-004
#    -25    26       3.3177486819E-005
#    -25    27       1.1195211379E-005
#    -24   -20       5.7604580890E-006
#    -24   -19       2.0012416845E-005
#    -24   -18       2.6867601386E-005
#    -24   -17       3.2471596070E-005
#    -24   -16       3.6801054986E-005
#    -24   -15       4.4244043411E-005
#    -24   -14       4.1414485064E-005
#    -24   -13       3.5096352342E-005
#    -24   -12       2.2563354987E-005
#    -24   -11       1.4106828821E-005
#    -24   -10       1.1631122737E-005
#    -24    -9       8.9894254999E-006
#    -24    -8       8.0290091730E-006
#    -24    -7       6.8836416323E-006
#    -24    -6       1.1210203084E-005
#    -24    -5       1.3410721599E-005
#    -24    -4       1.5651164516E-005
#    -24    -3       1.5643756766E-005
#    -24    -2       9.9829723375E-006
#    -24    -1       3.3452983856E-006
#    -24     0       1.5162158956E-006
#    -24     1       5.7326515011E-006
#    -24     2       1.1427580778E-005
#    -24     3       1.6415781942E-005
#    -24     4       1.1314572169E-005
#    -24     5       7.0169992977E-006
#    -24     6       4.9508084156E-006
#    -24     7       3.4166589533E-006
#    -24     8       4.7410299931E-006
#    -24     9       6.1109878748E-006
#    -24    10       1.4230974821E-005
#    -24    11       2.3064379272E-005
#    -24    12       3.3091030606E-005
#    -24    13       4.2550122316E-005
#    -24    14       2.9315532515E-005
#    -24    15       2.4188569351E-005
#    -24    16       2.5475419369E-005
#    -24    17       1.0600394375E-005
#    -24    18       1.6032906007E-005
#    -24    19       2.2048769006E-005
#    -24    20       3.7863252389E-005
#    -24    21       6.7450965134E-005
#    -24    22       4.3443797393E-005
#    -24    23       3.3286977552E-005
#    -24    24       9.2234586491E-005
#    -24    25       4.4804184174E-005
#    -24    26       7.9081112550E-005
#    -23   -20       1.9320999872E-005
#    -23   -19       3.3456083275E-005
#    -23   -18       4.4022416588E-005
#    -23   -17       4.7528147468E-005
#    -23   -16       5.0754279743E-005
#    -23   -15       4.6441529749E-005
#    -23   -14       3.6370534760E-005
#    -23   -13       3.0328444899E-005
#    -23   -12       2.3150920388E-005
#    -23   -11       1.5256240721E-005
#    -23   -10       1.0905632836E-005
#    -23    -9       6.0241527945E-006
#    -23    -8       4.7674521602E-006
#    -23    -7       1.1749819916E-005
#    -23    -6       1.7594066526E-005
#    -23    -5       2.0653730476E-005
#    -23    -4       1.8241755492E-005
#    -23    -3       1.2315154141E-005
#    -23    -2       5.4365632308E-006
#    -23    -1       5.7356746468E-006
#    -23     0       1.7288800683E-005
#    -23     1       2.8529270493E-005
#    -23     2       2.7333652616E-005
#    -23     3       1.9230020988E-005
#    -23     4       5.7954792362E-006
#    -23     5       6.4687272327E-007
#    -23     6       4.5668373781E-006
#    -23     7       1.4915860437E-005
#    -23     8       3.3480468046E-005
#    -23     9       4.0391753106E-005
#    -23    10       5.2323119162E-005
#    -23    11       5.9775844717E-005
#    -23    12       7.1897023749E-005
#    -23    13       8.4240559666E-005
#    -23    14       5.4329462790E-005
#    -23    15       4.1853134594E-005
