 Diffraction intensities for potential:3x3unpristine10001.in                   
#     -2    -3       2.0969240364E-004
#     -2    -2       9.4221527935E-004
#     -2    -1       3.3905844661E-003
#     -2     0       4.5365552164E-003
#     -2     1       1.9755979670E-003
#     -2     2       2.4472747924E-003
#     -2     3       2.6943003178E-003
#     -2     4       4.1297362068E-003
#     -2     5       1.0759338940E-003
#     -2     6       1.6682268260E-002
#     -2     7       9.1932676455E-004
#     -2     8       5.8656007972E-003
#     -1   -16       1.2051180376E-004
#     -1   -15       1.6090340299E-004
#     -1   -14       6.1277059786E-004
#     -1   -13       9.9306882448E-004
#     -1   -12       2.0086552980E-004
#     -1   -11       2.0983286031E-003
#     -1   -10       8.9806316954E-004
#     -1    -9       6.4157440113E-005
#     -1    -8       2.1754300038E-003
#     -1    -7       9.8860988536E-004
#     -1    -6       9.0089756920E-005
#     -1    -5       1.9582971716E-003
#     -1    -4       1.1698233958E-003
#     -1    -3       9.1399594149E-004
#     -1    -2       4.4968635832E-003
#     -1    -1       1.6687605195E-003
#     -1     0       5.1052036114E-003
#     -1     1       6.8338448983E-003
#     -1     2       7.5517142023E-004
#     -1     3       1.2470667685E-002
#     -1     4       9.0777235487E-004
#     -1     5       2.2695397523E-003
#     -1     6       7.2653681501E-003
#     -1     7       1.9153699854E-004
#      0   -16       1.5490393513E-004
#      0   -15       3.2626549634E-004
#      0   -14       5.0903916494E-004
#      0   -13       5.6391374736E-004
#      0   -12       2.0433725721E-003
#      0   -11       7.6841273521E-004
#      0   -10       8.4870388537E-004
#      0    -9       1.5638597320E-002
#      0    -8       5.9747081593E-004
#      0    -7       8.3354987736E-004
#      0    -6       1.7778799249E-002
#      0    -5       3.3559624666E-003
#      0    -4       6.8269003823E-004
#      0    -3       1.1613170027E-002
#      0    -2       3.7605348434E-003
#      0    -1       1.0166718570E-004
#      0     0       1.1796180165E-002
#      0     1       1.7721568709E-003
#      0     2       1.1556755130E-003
#      0     3       3.4964413949E-003
#      0     4       2.5870162848E-003
#      0     5       7.7397980163E-004
#      0     6       1.7469159674E-004
#      1   -16       1.8317251571E-005
#      1   -15       1.8178123983E-004
#      1   -14       1.6579398058E-004
#      1   -13       1.5106466173E-004
#      1   -12       2.0415480202E-004
#      1   -11       2.2506711694E-004
#      1   -10       1.0426378196E-004
#      1    -9       1.0616791961E-003
#      1    -8       1.3806297540E-003
#      1    -7       3.2538595204E-004
#      1    -6       4.3208174816E-003
#      1    -5       5.1840889724E-003
#      1    -4       6.5755351578E-004
#      1    -3       2.3292376577E-003
#      1    -2       3.8627998044E-004
#      1    -1       2.5900431808E-004
